English,Italian
a,un
about,di
all,tutti
also,anche
and,e
as,come
at,a
be,essere
because,perché
but,ma
by,di
can,potere
come,venire
could,potevo
day,giorno
do,fare
even,Anche
find,trovare
first,primo
for,per
from,da
get,ottenere
give,dare
go,andare
have,avere
he,lui
her,sua
here,qui
him,lui
his,la sua
how,come
I,io
if,Se
in,in
into,in
it,esso
its,suo
just,appena
know,sapere
like,piace
look,Guarda
make,Fare
man,uomo
many,molti
me,me
more,di più
my,mio
new,nuovo
no,no
not,non
now,adesso
of,di
on,su
one,uno
only,solo
or,o
other,Altro
our,nostro
out,fuori
people,le persone
say,dire
see,vedere
she,lei
so,Così
some,alcuni
take,prendere
tell,raccontare
than,di
that,Quello
the,il
their,loro
them,loro
then,poi
there,là
these,questi
they,essi
thing,cosa
think,pensare
this,questo
those,quelli
time,tempo
to,a
two,Due
up,su
use,utilizzo
very,molto
want,volere
way,strada
we,noi
well,bene
what,che cosa
when,quando
which,quale
who,chi
will,volere
with,insieme a
would,volevo
year,anno
you,Voi
your,il tuo
