,English,Italian
0,a,un
1,about,di
2,all,tutti
3,also,anche
4,and,e
5,as,come
6,be,essere
7,because,perché
8,but,ma
9,by,di
10,can,potere
11,come,venire
12,could,potevo
13,day,giorno
14,do,fare
15,even,Anche
16,find,trovare
17,first,primo
18,for,per
19,from,da
20,get,ottenere
21,give,dare
22,go,andare
23,have,avere
24,he,lui
25,her,sua
26,here,qui
27,him,lui
28,his,la sua
29,how,come
30,I,io
31,if,Se
32,in,in
33,into,in
34,it,esso
35,its,suo
36,just,appena
37,know,sapere
38,like,piace
39,look,Guarda
40,make,Fare
41,man,uomo
42,many,molti
43,me,me
44,my,mio
45,new,nuovo
46,no,no
47,not,non
48,now,adesso
49,of,di
50,on,su
51,one,uno
52,only,solo
53,or,o
54,other,Altro
55,our,nostro
56,out,fuori
57,people,le persone
58,say,dire
59,see,vedere
60,she,lei
61,so,Così
62,some,alcuni
63,take,prendere
64,tell,raccontare
65,than,di
66,that,Quello
67,the,il
68,their,loro
69,them,loro
70,then,poi
71,there,là
72,these,questi
73,they,essi
74,thing,cosa
75,think,pensare
76,this,questo
77,those,quelli
78,time,tempo
79,to,a
80,two,Due
81,up,su
82,use,utilizzo
83,very,molto
84,want,volere
85,way,strada
86,we,noi
87,well,bene
88,what,che cosa
89,when,quando
90,which,quale
91,who,chi
92,will,volere
93,with,insieme a
94,would,volevo
95,year,anno
96,you,Voi
97,your,il tuo
